schema,question,chosen
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in IT?,"SELECT AVG(age) FROM employees WHERE department = ""IT"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have more than 20 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2008?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What is the average age of employees in HR?,"SELECT AVG(age) FROM employees WHERE department = ""HR"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Who are the employees in the IT department?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What is the average age of employees in HR?,"SELECT AVG(age) FROM employees WHERE department = ""HR"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2003?,SELECT project_name FROM projects WHERE start_year < 2003
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2011?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have more than 15 employees?,INVALID QUERY
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 14 employees?,INVALID QUERY
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What is the average age of employees in Finance?,"SELECT AVG(age) FROM employees WHERE department = ""Finance"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What is the average age of employees in Finance?,"SELECT AVG(age) FROM employees WHERE department = ""Finance"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have more than 4 employees?,INVALID QUERY
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees were present on Monday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Monday"" AND status = ""Present"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What is the average age of employees in HR?,"SELECT AVG(age) FROM employees WHERE department = ""HR"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have a manager with ID less than 123?,SELECT department_name FROM departments WHERE manager_id < 123
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What projects started before 2011?,SELECT project_name FROM projects WHERE start_year < 2011
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 17 employees?,INVALID QUERY
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which employees received a bonus greater than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2019?,SELECT project_name FROM projects WHERE start_year < 2019
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What projects started before 2017?,SELECT project_name FROM projects WHERE start_year < 2017
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2008?,SELECT project_name FROM projects WHERE start_year < 2008
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have a manager with ID less than 243?,SELECT department_name FROM departments WHERE manager_id < 243
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have a manager with ID less than 95?,SELECT department_name FROM departments WHERE manager_id < 95
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees were present on Tuesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Tuesday"" AND status = ""Present"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees received a bonus greater than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees have a bonus less than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2018?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What employees joined after 2004?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What projects started before 2020?,SELECT project_name FROM projects WHERE start_year < 2020
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Who are the employees in the Marketing department?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which departments have a manager with ID less than 60?,SELECT department_name FROM departments WHERE manager_id < 60
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What employees joined after 2011?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What is the average age of employees in IT?,"SELECT AVG(age) FROM employees WHERE department = ""IT"""
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What projects started before 2001?,SELECT project_name FROM projects WHERE start_year < 2001
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have a manager with ID less than 127?,SELECT department_name FROM departments WHERE manager_id < 127
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees were present on Tuesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Tuesday"" AND status = ""Present"""
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees were present on Wednesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Wednesday"" AND status = ""Present"""
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2013?,SELECT project_name FROM projects WHERE start_year < 2013
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What projects started before 2021?,SELECT project_name FROM projects WHERE start_year < 2021
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Who are the employees in the Sales department?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 2 employees?,INVALID QUERY
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What projects started before 2003?,SELECT project_name FROM projects WHERE start_year < 2003
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees received a bonus greater than 20000?,SELECT * FROM bonuses WHERE bonus_amount > 20000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees were present on Friday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Friday"" AND status = ""Present"""
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 10000?,SELECT * FROM bonuses WHERE bonus_amount > 10000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have more than 17 employees?,INVALID QUERY
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Who are the employees in the Sales department?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2019?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What employees joined after 2007?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",What projects started before 2006?,SELECT project_name FROM projects WHERE start_year < 2006
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Who are the employees in the IT department?,UNKNOWN
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which employees have a bonus less than 5000?,SELECT * FROM bonuses WHERE bonus_amount > 5000
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which departments have more than 8 employees?,INVALID QUERY
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Who are the employees in the HR department?,UNKNOWN
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Which employees received a bonus greater than 1000?,SELECT * FROM bonuses WHERE bonus_amount > 1000
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",What employees joined after 2012?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have a manager with ID less than 291?,SELECT department_name FROM departments WHERE manager_id < 291
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Who are the employees in the IT department?,UNKNOWN
"CREATE TABLE employees (name TEXT, age INTEGER, department TEXT)",What employees joined after 2007?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",Which employees were present on Tuesday?,"SELECT name FROM attendance JOIN employees ON attendance.employee_id = employees.employee_id WHERE day = ""Tuesday"" AND status = ""Present"""
"CREATE TABLE bonuses (employee_id INTEGER, bonus_amount INTEGER)",Who are the employees in the Sales department?,UNKNOWN
"CREATE TABLE projects (project_id INTEGER, project_name TEXT, start_year INTEGER)",What projects started before 2006?,SELECT project_name FROM projects WHERE start_year < 2006
"CREATE TABLE attendance (employee_id INTEGER, day TEXT, status TEXT)",Which departments have a manager with ID less than 237?,SELECT department_name FROM departments WHERE manager_id < 237
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",What employees joined after 2021?,UNKNOWN
"CREATE TABLE departments (department_id INTEGER, department_name TEXT, manager_id INTEGER)",Which departments have more than 20 employees?,INVALID QUERY
